StudyID,Obs ID,DOI,DispersingAgent,DispersingAgent.SodiumHex,DispersingAgent.OtherSolution,DispersingAgent.GlassBeads,DispersingAgent.Sonication,DispersingAgent.Combo,FractionationMethod,FractionationMethod.Size,FractionationMethod.Density,FractionationMethod.SizeAndDensity,Continent,Continent.Africa,Continent.Asia,Continent.Australia,Continent.Europe,Continent.NorthAmerica,Continent.SouthAmerica,country,ResponseCalc,ResponseCalc.Direct,ResponseCalc.Indirect,rv type,summed,rv,mean control in g kg-1,mean treatment in g kg-1,sd control in g kg -1,sd treatment in g kg-1,sd imputed in g kg-1,control BD (Mg m-3),treat BD (Mg m-3),mean control in Mg ha-1,mean treatment in Mg ha-1,sd control in Mg ha-1,sd treatment in Mg ha-1,sd imputed in Mg ha-1,depth upper limit (cm),depth lower limit (cm),depth type,depth surface,depth subsoil,depth deepsoil,soilorder,soilorder.Alfisols,soilorder.Inceptisols,soilorder.Mollisols,soilorder.Oxisols,soilorder.Spodosols,soilorder.Ultisols,Baseline depth (cm),Baseline % sand,Baseline % silt,Baseline % clay,Baseline TOC %,Baseline pH,pH method,SoilCollectionSeason,SoilCollectionSeason.spring,SoilCollectionSeason.summer,SoilCollectionSeason.fall,SoilCollectionSeason.winter,location name,lat decimal,long decimal,maincrop,maincrop.cereal,maincrop.legume,maincrop.cereallegume,maincrop.otherrowcrop,maincrop.perennial,number of crop species in control,cover crop added,ccadded.grass,ccadded.legume,ccadded.grasslegume,ccadded.brassica,ccadded.grassbrassica,ccadded.legumebrassica,ccadded.grasslegumebrassica,total C inputs cover crops (Mg ha-1 yr-1),bg C inputs cover crops (Mg ha-1 yr-1),ag C inputs cover crops (Mg ha-1 yr-1),ag C inputs fallow (Mg ha-1 yr-1),ccseason,ccseason.spring,ccseason.summer,ccseason.fall,ccseason.winter,ccseason.yearround,number crop species added,duration (yr),reps,tillage,tillage conventional,tillage reducednotill,N fertilization rate (kg ha-1 yr-1),N type,residue removal (%),logRR type,logRR,percent change,var,Further notes,Further notes 2
Baye01,0049,10.2136/sssaj2001.6551473x,glass beads,0,0,1,0,0,size,1,0,0,South America,0,0,0,0,0,1,Brazil,direct,1,0,maom fraction,0,MAOC,12.3943662,17.92207792,1.354461875,1.958532681,1,1.42,1.54,4.4,6.9,,,,0,2.5,surface,1,0,0,Ultisols,0,0,0,0,0,1,NA,54.00,24.00,22.00,NA,NA,NA,spring,1,0,0,0,Experimental Station of the Feteral University of Rio Grande do Sul,-30.8477778,-51.63555556,corn,1,0,0,0,0,1,"oat, vetch, cowpea",0,0,1,0,0,0,0,NA,NA,5.14,0.47,winter and summer,0,1,0,1,0,3,12,3,no-till,0,1,NA,NA,NA,gkg,0.369,45,0.0079615,,
Baye01,0050,10.2136/sssaj2001.6551473x,glass beads,0,0,1,0,0,size,1,0,0,South America,0,0,0,0,0,1,Brazil,direct,1,0,maom fraction,0,MAOC,12.3943662,21.29496403,1.354461875,2.327123182,1,1.42,1.39,4.4,7.4,,,,0,2.5,surface,1,0,0,Ultisols,0,0,0,0,0,1,NA,54.00,24.00,22.00,NA,NA,NA,spring,1,0,0,0,Experimental Station of the Feteral University of Rio Grande do Sul,-30.8477778,-51.63555556,corn,1,0,0,0,0,1,cajanus,0,1,0,0,0,0,0,NA,NA,5.8,0.47,year-round,0,0,0,0,1,1,12,3,no-till,0,1,NA,NA,NA,gkg,0.541,72,0.0079615,,
Baye09,0081,10.1080/00103620902820365,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,South America,0,0,0,0,0,1,Brazil,indirect,0,1,maom fraction,0,MAOC,8.472222222,8.355263158,0.925848229,0.9130668902,,1.44,1.52,,,,,,0,2.5,surface,1,0,0,Ultisols,0,0,0,0,0,1,0-20,66.00,25.30,8.70,NA,NA,NA,spring,1,0,0,0,"Santa Maria, Rio Grande do Sul",-29.75,-53.7,corn,1,0,0,0,0,1,"oat, vetch",0,0,1,0,0,0,0,NA,NA,1.69,0.72,winter,0,0,0,1,0,2,8,2,no-till,0,1,NA,NA,NA,gkg,-0.014,-1,0.0119422,,
Baye09,0082,10.1080/00103620902820365,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,South America,0,0,0,0,0,1,Brazil,indirect,0,1,maom fraction,0,MAOC,8.472222222,8.717948718,0.925848229,0.9527013302,,1.44,1.56,,,,,,0,2.5,surface,1,0,0,Ultisols,0,0,0,0,0,1,0-20,66.00,25.30,8.70,NA,NA,NA,spring,1,0,0,0,"Santa Maria, Rio Grande do Sul",-29.75,-53.7,corn,1,0,0,0,0,1,"ryegrass, vetch",0,0,1,0,0,0,0,NA,NA,1.35,0.72,winter,0,0,0,1,0,2,8,2,no-till,0,1,NA,NA,NA,gkg,0.029,3,0.0119422,,
Baye09,0083,10.1080/00103620902820365,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,South America,0,0,0,0,0,1,Brazil,indirect,0,1,maom fraction,0,MAOC,8.472222222,11.23287671,0.925848229,1.227533785,,1.44,1.46,,,,,,0,2.5,surface,1,0,0,Ultisols,0,0,0,0,0,1,0-20,66.00,25.30,8.70,NA,NA,NA,spring,1,0,0,0,"Santa Maria, Rio Grande do Sul",-29.75,-53.7,corn,1,0,0,0,0,1,mucuna,0,1,0,0,0,0,0,NA,NA,2,0.72,summer,0,1,0,0,0,1,8,2,no-till,0,1,NA,NA,NA,gkg,0.282,33,0.0119422,,
Baye01,0057,10.2136/sssaj2001.6551473x,glass beads,0,0,1,0,0,size,1,0,0,South America,0,0,0,0,0,1,Brazil,direct,1,0,maom fraction,0,MAON,1.121126761,1.680519481,0.1225172332,0.1836479195,1,1.42,1.54,0.398,0.647,,,,0,2.5,surface,1,0,0,Ultisols,0,0,0,0,0,1,NA,54.00,24.00,22.00,NA,NA,NA,spring,1,0,0,0,Experimental Station of the Feteral University of Rio Grande do Sul,-30.8477778,-51.63555556,corn,1,0,0,0,0,1,"oat, vetch, cowpea",0,0,1,0,0,0,0,NA,NA,5.14,0.47,winter and summer,0,1,0,1,0,3,12,3,no-till,0,1,NA,NA,NA,gkg,0.405,50,0.0079615,,
Baye01,0058,10.2136/sssaj2001.6551473x,glass beads,0,0,1,0,0,size,1,0,0,South America,0,0,0,0,0,1,Brazil,direct,1,0,maom fraction,0,MAON,1.121126761,2.014388489,0.1225172332,0.2201332739,1,1.42,1.39,0.398,0.7,,,,0,2.5,surface,1,0,0,Ultisols,0,0,0,0,0,1,NA,54.00,24.00,22.00,NA,NA,NA,spring,1,0,0,0,Experimental Station of the Feteral University of Rio Grande do Sul,-30.8477778,-51.63555556,corn,1,0,0,0,0,1,cajanus,0,1,0,0,0,0,0,NA,NA,5.8,0.47,year-round,0,0,0,0,1,1,12,3,no-till,0,1,NA,NA,NA,gkg,0.586,80,0.0079615,,
Baye01,0065,10.2136/sssaj2001.6551473x,glass beads,0,0,1,0,0,size,1,0,0,South America,0,0,0,0,0,1,Brazil,indirect,0,1,pom fraction,0,POC,3.098591549,5.714285714,0.3386154686,0.6244596954,1,1.42,1.54,1.1,2.2,,,,0,2.5,surface,1,0,0,Ultisols,0,0,0,0,0,1,NA,54.00,24.00,22.00,NA,NA,NA,spring,1,0,0,0,Experimental Station of the Feteral University of Rio Grande do Sul,-30.8477778,-51.63555556,corn,1,0,0,0,0,1,"oat, vetch, cowpea",0,0,1,0,0,0,0,NA,NA,5.14,0.47,winter and summer,0,1,0,1,0,3,12,3,no-till,0,1,NA,NA,NA,gkg,0.612,84,0.0079615,,
Baye01,0066,10.2136/sssaj2001.6551473x,glass beads,0,0,1,0,0,size,1,0,0,South America,0,0,0,0,0,1,Brazil,indirect,0,1,pom fraction,0,POC,3.098591549,10.9352518,0.3386154686,1.195009201,1,1.42,1.39,1.1,3.8,,,,0,2.5,surface,1,0,0,Ultisols,0,0,0,0,0,1,NA,54.00,24.00,22.00,NA,NA,NA,spring,1,0,0,0,Experimental Station of the Feteral University of Rio Grande do Sul,-30.8477778,-51.63555556,corn,1,0,0,0,0,1,cajanus,0,1,0,0,0,0,0,NA,NA,5.8,0.47,year-round,0,0,0,0,1,1,12,3,no-till,0,1,NA,NA,NA,gkg,1.261,253,0.0079615,,
Baye09,0102,10.1080/00103620902820365,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,South America,0,0,0,0,0,1,Brazil,direct,1,0,pom fraction,0,POC,1.666666667,2.105263158,0.1821340778,0.2300640983,,1.44,1.52,,,,,,0,2.5,surface,1,0,0,Ultisols,0,0,0,0,0,1,0-20,66.00,25.30,8.70,NA,NA,NA,spring,1,0,0,0,"Santa Maria, Rio Grande do Sul",-29.75,-53.7,corn,1,0,0,0,0,1,"oat, vetch",0,0,1,0,0,0,0,NA,NA,1.69,0.72,winter,0,0,0,1,0,2,8,2,no-till,0,1,NA,NA,NA,gkg,0.234,26,0.0119422,,
